df_author_name,df_author_url
['Mohammadreza Abbassi Monjezi'],['https://pureportal.coventry.ac.uk/en/persons/mohammadreza-abbassi-monjezi']
['Mohsen Abbaszadeh'],['https://pureportal.coventry.ac.uk/en/persons/mohsen-abbaszadeh']
['Meryem Abdelhafid'],['https://pureportal.coventry.ac.uk/en/persons/meryem-abdelhafid']
['Omar Khaled Abdelrahman'],['https://pureportal.coventry.ac.uk/en/persons/omar-khaled-abdelrahman']
['Mohamed Abdelshafy'],['https://pureportal.coventry.ac.uk/en/persons/mohamed-abdelshafy']
['Ali Mohamed Abdi'],['https://pureportal.coventry.ac.uk/en/persons/ali-mohamed-abdi']
['Mohamad Nazri Abd Karim'],['https://pureportal.coventry.ac.uk/en/persons/mohamad-nazri-abd-karim']
['Mohammed Abdulla'],['https://pureportal.coventry.ac.uk/en/persons/mohammed-abdulla']
['Mohammed Abdullahi'],['https://pureportal.coventry.ac.uk/en/persons/mohammed-abdullahi']
['Jackie Abell'],['https://pureportal.coventry.ac.uk/en/persons/jackie-abell']
['Rebecca Aberton'],['https://pureportal.coventry.ac.uk/en/persons/rebecca-aberton']
['Essam Abo-Serie'],['https://pureportal.coventry.ac.uk/en/persons/essam-abo-serie-abdelfatah']
['Btissam Aboubichr'],['https://pureportal.coventry.ac.uk/en/persons/btissam-aboubichr']
['Omar Abou Hamdan'],['https://pureportal.coventry.ac.uk/en/persons/omar-abou-hamdan']
['Siham Aboujanah'],['https://pureportal.coventry.ac.uk/en/persons/siham-aboujanah']
['Nacey Abraham'],['https://pureportal.coventry.ac.uk/en/persons/nacey-abraham']
['Jay Abrahams'],['https://pureportal.coventry.ac.uk/en/persons/jay-abrahams']
['Ahmad Abras'],['https://pureportal.coventry.ac.uk/en/persons/ahmad-abras']
['Habib Gajam Abubakar'],['https://pureportal.coventry.ac.uk/en/persons/habib-gajam-abubakar']
['Alim Abubakre'],['https://pureportal.coventry.ac.uk/en/persons/alim-abubakre']
['Aisha Abuelmaatti'],['https://pureportal.coventry.ac.uk/en/persons/aisha-abuelmaatti']
['Adam Abukari'],['https://pureportal.coventry.ac.uk/en/persons/adam-abukari']
['Anees Abu Monshar'],['https://pureportal.coventry.ac.uk/en/persons/anees-abu-monshar']
['Mohsen Abumuamar'],['https://pureportal.coventry.ac.uk/en/persons/mohsen-abumuamar']
['Pius Maduakonam Achuama'],['https://pureportal.coventry.ac.uk/en/persons/pius-maduakonam-achuama']
['Joseph Esuman Acquaah'],['https://pureportal.coventry.ac.uk/en/persons/joseph-esuman-acquaah']
['Elijah Acquah-Andoh'],['https://pureportal.coventry.ac.uk/en/persons/elijah-acquah-andoh']
['Gbenga Adamolekun'],['https://pureportal.coventry.ac.uk/en/persons/gbenga-adamolekun']
['Arinola Adefila'],['https://pureportal.coventry.ac.uk/en/persons/arinola-adefila']
['Abiodun Adegbile'],['https://pureportal.coventry.ac.uk/en/persons/abiodun-adegbile']
['Amanda R A Adegboye'],['https://pureportal.coventry.ac.uk/en/persons/amanda-r-a-adegboye']
['Janneke Adema'],['https://pureportal.coventry.ac.uk/en/persons/janneke-adema']
['Amin Aden'],['https://pureportal.coventry.ac.uk/en/persons/amin-aden']
['Mohammed Aderemi Adepoju'],['https://pureportal.coventry.ac.uk/en/persons/mohammed-aderemi-adepoju']
['Kamilah Adetunji'],['https://pureportal.coventry.ac.uk/en/persons/kamilah-adetunji']
['Thomas Kayode Adeyemi'],['https://pureportal.coventry.ac.uk/en/persons/thomas-kayode-adeyemi']
['Mahalaxmi Adhikari Parajuli'],['https://pureportal.coventry.ac.uk/en/persons/mahalaxmi-adhikari-parajuli']
['Mahnoor Adil'],['https://pureportal.coventry.ac.uk/en/persons/mahnoor-adil']
['Frank Adom'],['https://pureportal.coventry.ac.uk/en/persons/frank-adom']
['Samrina Afzal'],['https://pureportal.coventry.ac.uk/en/persons/samrina-afzal']
['Olivia Agar'],['https://pureportal.coventry.ac.uk/en/persons/olivia-agar']
['Dami Agbato'],['https://pureportal.coventry.ac.uk/en/persons/dami-agbato']
['Daniel Aghanya'],['https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya']
['Rishav Agrawal'],['https://pureportal.coventry.ac.uk/en/persons/rishav-agrawal']
['Lisa Aguado'],['https://pureportal.coventry.ac.uk/en/persons/lisa-aguado']
['Ismeil Ahamed'],['https://pureportal.coventry.ac.uk/en/persons/ismeil-ahamed']
['Bilal Ahmad'],['https://pureportal.coventry.ac.uk/en/persons/bilal-ahmad']
['Farhan Ahmad'],['https://pureportal.coventry.ac.uk/en/persons/farhan-ahmad']
['Mahmood Abdulsattar Ahmad Ahmad'],['https://pureportal.coventry.ac.uk/en/persons/mahmood-abdulsattar-ahmad-ahmad']
['Mohammadreza Abbassi Monjezi'],['https://pureportal.coventry.ac.uk/en/persons/mohammadreza-abbassi-monjezi']
['Mohsen Abbaszadeh'],['https://pureportal.coventry.ac.uk/en/persons/mohsen-abbaszadeh']
['Meryem Abdelhafid'],['https://pureportal.coventry.ac.uk/en/persons/meryem-abdelhafid']
['Omar Khaled Abdelrahman'],['https://pureportal.coventry.ac.uk/en/persons/omar-khaled-abdelrahman']
['Mohamed Abdelshafy'],['https://pureportal.coventry.ac.uk/en/persons/mohamed-abdelshafy']
['Ali Mohamed Abdi'],['https://pureportal.coventry.ac.uk/en/persons/ali-mohamed-abdi']
['Mohamad Nazri Abd Karim'],['https://pureportal.coventry.ac.uk/en/persons/mohamad-nazri-abd-karim']
['Mohammed Abdulla'],['https://pureportal.coventry.ac.uk/en/persons/mohammed-abdulla']
['Mohammed Abdullahi'],['https://pureportal.coventry.ac.uk/en/persons/mohammed-abdullahi']
['Jackie Abell'],['https://pureportal.coventry.ac.uk/en/persons/jackie-abell']
['Rebecca Aberton'],['https://pureportal.coventry.ac.uk/en/persons/rebecca-aberton']
['Essam Abo-Serie'],['https://pureportal.coventry.ac.uk/en/persons/essam-abo-serie-abdelfatah']
['Btissam Aboubichr'],['https://pureportal.coventry.ac.uk/en/persons/btissam-aboubichr']
['Omar Abou Hamdan'],['https://pureportal.coventry.ac.uk/en/persons/omar-abou-hamdan']
['Siham Aboujanah'],['https://pureportal.coventry.ac.uk/en/persons/siham-aboujanah']
['Nacey Abraham'],['https://pureportal.coventry.ac.uk/en/persons/nacey-abraham']
['Jay Abrahams'],['https://pureportal.coventry.ac.uk/en/persons/jay-abrahams']
['Ahmad Abras'],['https://pureportal.coventry.ac.uk/en/persons/ahmad-abras']
['Habib Gajam Abubakar'],['https://pureportal.coventry.ac.uk/en/persons/habib-gajam-abubakar']
['Alim Abubakre'],['https://pureportal.coventry.ac.uk/en/persons/alim-abubakre']
['Aisha Abuelmaatti'],['https://pureportal.coventry.ac.uk/en/persons/aisha-abuelmaatti']
['Adam Abukari'],['https://pureportal.coventry.ac.uk/en/persons/adam-abukari']
['Anees Abu Monshar'],['https://pureportal.coventry.ac.uk/en/persons/anees-abu-monshar']
['Mohsen Abumuamar'],['https://pureportal.coventry.ac.uk/en/persons/mohsen-abumuamar']
['Pius Maduakonam Achuama'],['https://pureportal.coventry.ac.uk/en/persons/pius-maduakonam-achuama']
['Joseph Esuman Acquaah'],['https://pureportal.coventry.ac.uk/en/persons/joseph-esuman-acquaah']
['Elijah Acquah-Andoh'],['https://pureportal.coventry.ac.uk/en/persons/elijah-acquah-andoh']
['Gbenga Adamolekun'],['https://pureportal.coventry.ac.uk/en/persons/gbenga-adamolekun']
['Arinola Adefila'],['https://pureportal.coventry.ac.uk/en/persons/arinola-adefila']
['Abiodun Adegbile'],['https://pureportal.coventry.ac.uk/en/persons/abiodun-adegbile']
['Amanda R A Adegboye'],['https://pureportal.coventry.ac.uk/en/persons/amanda-r-a-adegboye']
['Janneke Adema'],['https://pureportal.coventry.ac.uk/en/persons/janneke-adema']
['Amin Aden'],['https://pureportal.coventry.ac.uk/en/persons/amin-aden']
['Mohammed Aderemi Adepoju'],['https://pureportal.coventry.ac.uk/en/persons/mohammed-aderemi-adepoju']
['Kamilah Adetunji'],['https://pureportal.coventry.ac.uk/en/persons/kamilah-adetunji']
['Thomas Kayode Adeyemi'],['https://pureportal.coventry.ac.uk/en/persons/thomas-kayode-adeyemi']
['Mahalaxmi Adhikari Parajuli'],['https://pureportal.coventry.ac.uk/en/persons/mahalaxmi-adhikari-parajuli']
['Mahnoor Adil'],['https://pureportal.coventry.ac.uk/en/persons/mahnoor-adil']
['Frank Adom'],['https://pureportal.coventry.ac.uk/en/persons/frank-adom']
['Samrina Afzal'],['https://pureportal.coventry.ac.uk/en/persons/samrina-afzal']
['Olivia Agar'],['https://pureportal.coventry.ac.uk/en/persons/olivia-agar']
['Dami Agbato'],['https://pureportal.coventry.ac.uk/en/persons/dami-agbato']
['Daniel Aghanya'],['https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya']
['Rishav Agrawal'],['https://pureportal.coventry.ac.uk/en/persons/rishav-agrawal']
['Lisa Aguado'],['https://pureportal.coventry.ac.uk/en/persons/lisa-aguado']
['Ismeil Ahamed'],['https://pureportal.coventry.ac.uk/en/persons/ismeil-ahamed']
['Bilal Ahmad'],['https://pureportal.coventry.ac.uk/en/persons/bilal-ahmad']
['Farhan Ahmad'],['https://pureportal.coventry.ac.uk/en/persons/farhan-ahmad']
['Mahmood Abdulsattar Ahmad Ahmad'],['https://pureportal.coventry.ac.uk/en/persons/mahmood-abdulsattar-ahmad-ahmad']
['Abdullahi Ahmed'],['https://pureportal.coventry.ac.uk/en/persons/abdullahi-ahmed']
['Hafiz Ahmed'],['https://pureportal.coventry.ac.uk/en/persons/ahmed-hafiz']
['Hany Ahmed'],['https://pureportal.coventry.ac.uk/en/persons/hany-ahmed']
['Mohammed Lawal Ahmed'],['https://pureportal.coventry.ac.uk/en/persons/mohammed-lawal-ahmed']
['Sarfraz Ahmed'],['https://pureportal.coventry.ac.uk/en/persons/sarfraz-ahmed']
['Tanveer Ahmed'],['https://pureportal.coventry.ac.uk/en/persons/tanveer-ahmed']
['Tanvir Ahmed'],['https://pureportal.coventry.ac.uk/en/persons/tanvir-ahmed']
['Zahoor Ahmed'],['https://pureportal.coventry.ac.uk/en/persons/zahoor-ahmed']
['Sarah Nnenna Aideyan'],['https://pureportal.coventry.ac.uk/en/persons/sarah-nnenna-aideyan']
['Nurudeen Aigoro'],['https://pureportal.coventry.ac.uk/en/persons/nurudeen-aigoro']
['Olubunmi Ajala'],['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
['Michael Ajao-Olarinoye'],['https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye']
['Toluwanimi Akaehomen'],['https://pureportal.coventry.ac.uk/en/persons/toluwanimi-akaehomen']
['Emre Akgun'],['https://pureportal.coventry.ac.uk/en/persons/emre-akgun']
['Sanam Akhavannasab'],['https://pureportal.coventry.ac.uk/en/persons/sanam-akhavannasab']
['Christiana Olajumoke Akintoye'],['https://pureportal.coventry.ac.uk/en/persons/christiana-olajumoke-akintoye']
['Josiah Akintunde'],['https://pureportal.coventry.ac.uk/en/persons/josiah-akintunde-2']
['Sule Akkoyunlu'],['https://pureportal.coventry.ac.uk/en/persons/sule-akkoyunlu']
['Daniel Akpan'],['https://pureportal.coventry.ac.uk/en/persons/daniel-akpan']
['Tega Akpobi'],['https://pureportal.coventry.ac.uk/en/persons/tega-akpobi']
['Michail Akritidis'],['https://pureportal.coventry.ac.uk/en/persons/michail-akritidis']
['Shahzad Alam'],['https://pureportal.coventry.ac.uk/en/persons/shahzad-alam']
['Saif Faris Ahmad Alatrash'],['https://pureportal.coventry.ac.uk/en/persons/saif-faris-ahmad-alatrash']
['Nahla Juma Khamis Al Balushi'],['https://pureportal.coventry.ac.uk/en/persons/nahla-juma-khamis-al-balushi']
['Ammar Al Bazi'],['https://pureportal.coventry.ac.uk/en/persons/ammar-al-bazi']
['Amna Mohammad Hassan Ibrahim Alblooshi'],['https://pureportal.coventry.ac.uk/en/persons/amna-mohammad-hassan-ibrahim-alblooshi']
['Reda Al-Bodour'],['https://pureportal.coventry.ac.uk/en/persons/reda-al-bodour']
['Robert Aldham'],['https://pureportal.coventry.ac.uk/en/persons/robert-aldham']
['Tim Aldsworth'],['https://pureportal.coventry.ac.uk/en/persons/tim-aldsworth']
['Svetlana Aleksandrova'],['https://pureportal.coventry.ac.uk/en/persons/svetlana-aleksandrova']
['Haitham Alfannah'],['https://pureportal.coventry.ac.uk/en/persons/haitham-alfannah']
['Kholoud Mashour S Al Garni'],['https://pureportal.coventry.ac.uk/en/persons/kholoud-mashour-s-al-garni']
['Salem Alhababsah'],['https://pureportal.coventry.ac.uk/en/persons/salem-alhababsah']
['Alaa Alhaj Ismail'],['https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail']
['Hesham Ali'],['https://pureportal.coventry.ac.uk/en/persons/hesham-ali']
['Mustafa Ali'],['https://pureportal.coventry.ac.uk/en/persons/mustafa-ali']
['Rashid Ali'],['https://pureportal.coventry.ac.uk/en/persons/rashid-ali']
['Reza Ali'],['https://pureportal.coventry.ac.uk/en/persons/reza-ali']
['Taher Mabkhut Ali Al Junaibi'],['https://pureportal.coventry.ac.uk/en/persons/taher-mabkhut-ali-al-junaibi']
['Hajar Al-Kaddo'],['https://pureportal.coventry.ac.uk/en/persons/hajar-al-kaddo']
['Mabel Alkali'],['https://pureportal.coventry.ac.uk/en/persons/mabel-alkali']
['Khaled Al Khudir'],['https://pureportal.coventry.ac.uk/en/persons/khaled-al-khudir']
['Amira Iqbal Ali Al Lawati'],['https://pureportal.coventry.ac.uk/en/persons/amira-iqbal-ali-al-lawati']
['John Allen'],['https://pureportal.coventry.ac.uk/en/persons/john-allen']
['Laura Allen'],['https://pureportal.coventry.ac.uk/en/persons/laura-allen-2']
['Ashraf Al Mamari'],['https://pureportal.coventry.ac.uk/en/persons/ashraf-al-mamari']
['Sayeda Mubarak Ali Mubarak Almansoori'],['https://pureportal.coventry.ac.uk/en/persons/sayeda-mubarak-ali-mubarak-almansoori']
['Khulood Almarzooqi'],['https://pureportal.coventry.ac.uk/en/persons/khulood-almarzooqi']
['Suhaib Almarzooqi'],['https://pureportal.coventry.ac.uk/en/persons/suhaib-almarzooqi']
['Abdulla Rashed Sultan Bin Qaba Almheiri'],['https://pureportal.coventry.ac.uk/en/persons/abdulla-rashed-sultan-bin-qaba-almheiri']
['Tariq Al Montaser'],['https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser']
['Eman Abdulla Abdulrahman Abdulrahim Almulla'],['https://pureportal.coventry.ac.uk/en/persons/eman-abdulla-abdulrahman-abdulrahim-almulla']
['Khaled Nagi Hussin Alosaimi'],['https://pureportal.coventry.ac.uk/en/persons/khaled-nagi-hussin-alosaimi']
['Mansour Qubeissi'],['https://pureportal.coventry.ac.uk/en/persons/m-al-qubeissi']
['Yahya Mohammed Zahran Al Rawahi'],['https://pureportal.coventry.ac.uk/en/persons/yahya-mohammed-zahran-al-rawahi']
['Mohammad A M A H A A Alrefae'],['https://pureportal.coventry.ac.uk/en/persons/mohammad-a-m-a-h-a-a-alrefae']
['Raid Mohammed Saleh Al Rubaiey'],['https://pureportal.coventry.ac.uk/en/persons/raid-mohammed-saleh-al-rubaiey']
['Loai Alsaid'],['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid']
['Farah Mahdi Yaseen Al-Sallami'],['https://pureportal.coventry.ac.uk/en/persons/farah-mahdi-yaseen-al-sallami-2']
